Authors,Editors,Translators,Description,Link,Genders,Name,Year,Written,lat_written,lon_written,6_lat_written,6_lon_written,7_lat_written,7_lon_written,8_lat_written,8_lon_written,Rewritten,lat_rewritten,lon_rewritten,6_lat_rewritten,6_lon_rewritten,7_lat_rewritten,7_lon_rewritten,8_lat_rewritten,8_lon_rewritten,Published 1,lat_pub1,lon_pub1,6_lat_pub1,6_lon_pub1,7_lat_pub1,7_lon_pub1,8_lat_pub1,8_lon_pub1,Published 2,lat_pub2,lon_pub2,6_lat_pub2,6_lon_pub2,7_lat_pub2,7_lon_pub2,8_lat_pub2,8_lon_pub2,Publisher,Language,Genre 1 (book or script),Genre 2 (quanitity of plays translated),Genre 3: other details
Christoph Martin Wieland,,,"In 1762-66, Wieland published his translations of 22 of Shakespeare's plays in 21 volumes, kick-starting the German public's enthusiasm for Shakespeare. Wieland (1733-1812) was a very influential proto-Romantic and proto-Classicist novelist, dramatist, poet, founding editor of an influential literary journal, and translator from classical and modern languages. His prose translations of Shakespeare (with notes and comments often within the running text) were based on recent English editions (for Othello he used Warburton). Others soon attempted both more poetic versions, and more accurate versions. His versions remain 'canonical': his is the only public Othello e-text, apart from the 'standard' German Shakespeare - Baudissin's Othello from the Schlegel-Tieck edition.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Wieland,m,"Othello, der Mohr von Venedig",1766,Biberach,48.095147,9.790152,47.971638819,9.195626953,48.07163882,9.445626953,48.095147,9.56015200,,,,,,,,,,Zurich,47.36865,8.539183,47.238650,8.539183,47.36865,8.539183,47.36865,8.539183,,,,,,,,,,Haffmans,,Book,Complete works,
Johann Joachim Eschenburg,Gabriel Eckert,,"Drawing on recent English editions and a more thorough knowledge of English, the academic Eschenburg (1743-1820) corrected Wieland's Shakespeare texts, and translated 10 more plays, publishing the first German 'Complete Plays' edition in 1775-77. His texts were further corrected (without his permission) by Gabriel Eckert, whose English was still better. Eckert published this edition in 1778-83. A public dispute ensued, but Eckert's revised edition became more widely accessible than the 'original' Eschenburg. In the 20th century, Erich Fried as a Shakespeare translator said he drew on Eschenburg (perhaps in fact Eschenburg/Eckert) in his efforts to avoid industrial-era language.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Eschenburg%20ed%20Eckert,"m, m","Othello, der Mohr von Venedig",1779,Braunschweig,52.268874,10.52677,52.868873889,10.55676990,52.268874,10.52677,52.268874,10.52677,Mannheim,49.487459,8.466039,49.430433312,7.503458984,49.440433312,7.853458984,49.48745899,8.206039,Mannheim,49.487459,8.466039,49.430433312,7.503458984,49.440433312,7.853458984,49.48745899,8.206039,,,,,,,,,,Gegel,,Book,Complete works,
"Friedrich Schiller, Johann Heinrich Voss",,,"The first verse translation of Othello by prestigious authors. The celebrated writer Friedrich Schiller (1759-1805) extensively revised a draft translation by Johann Heinrich Voss (1751-1826). Voss's translations of Homer are still in print. Their Othello influenced later translators, e.g. Baudissin (q.v.), Ortlepp (q.v.). Our text is taken from an edition of Schiller's works. Voss published the text under his own name in 1806. It appeared in an edition of Shakespeare's collected plays (1818-29; vol.7/1, 1825), with revisions by him and his sons Heinrich and Abraham, which Vincke (Shakespeare-Jahrbuch, 1880) judges poor. 'Voss' is named as translator, or co-translator with others (not Schiller), in many records of 19th-century productions in the annual tally kept by the Shakespeare-Jahrbuch from 1868 to 1913 - the Jahrbuch then stopped recording translators.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Schiller%20and%20Voss,"m, m","Othello, der Mohr von Venedig",1805,Weimar,50.984712,11.32254,50.984712,11.32254,50.984712,11.32254,50.984712,11.32254,,,,,,,,,,Weimar,50.984712,11.32254,50.984712,11.32254,50.984712,11.32254,50.984712,11.32254,,,,,,,,,,Böhlau,,Book,<10 plays,
Ernst Ortlepp,,,"Ernst Ortlepp (1800-64) was a prolific writer, chiefly remembered for national-liberal political poems which sparked conflicts with censorship in the 1830s. These culminated in 1836 with him being forced to leave Leipzig, where he had studied and lived since 1817. After 1836 Ortlepp fell into obscurity, living and dying in poverty. His Shakespeare translations may have kept him afloat. They began with an edition of the poems, with Gottlob Regis, 1836; then he joined a play-translating team, contributing Othello to a Complete Plays issued by the publisher Kleman (1836-37); joined another team led by Adolph Böttger and contributed 2 more plays (Kleman 1842); and meanwhile Ortlepp issued an edition of 34 plays entirely translated by himself (Rieger, 1838-39). Ortlepp’s translations for the Böttger edition were revived in the 1860s when the mass-market publisher Reclam launched their popular cheap edition, the ‘Reclam Universal-Bibliothek’, and reprinted the Böttger edition’s texts. Reclam’s Shakespeare appeared in time to rival other editions, such as Bodenstedt’s (q.v.) new translations and Hermann Ulrici’s revision of the Schlegel-Tieck edition (mostly by Baudissin, q.v.).",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Ortlepp,m,"Othello, der Mohr von Venedig",1839,Stuttgart,48.775418,9.181759,48.82541799,9.181759,48.785418,9.181759,48.775418,9.181759,,,,,,,,,,Stuttgart,48.775418,9.181759,48.82541799,9.181759,48.785418,9.181759,48.775418,9.181759,,,,,,,,,,Rieger,,Book,Complete works,
Baudissin,Tycho Mommsen,,"Wolf Graf Baudissin (1789-1878) translated 15 of Shakespeare’s plays for the so-called ‘Schlegel-Tieck’ edition (1825-33), including ‘Othello’ (1832). This edition has never been out of print. Even 180 years later, it is the default Shakespeare for German-language readers, students, and theatres. Generations of editors have ‘improved’ and ‘corrected’ or restored the texts. Tycho Mommsen (1819-1900), brother of the famous historian Theodor Mommsen, was a school headteacher from Oldenburg, and is still often mentioned by Shakespeare textual scholars in connection with the theory of ‘memorial reconstruction’, which he suggested in a letter to the London magazine ‘The Athenaum’ in 1857. Mommsen published a study of the ‘Perkins Folio’ Hamlet (1854) (in which he fell victim to John Payne Collier’s forgery), a critical edition of ‘Romeo and Juliet’, and a book on the ‘art of translation from modern languages’ (both 1859). Around 1850, Mommsen took on the task of revising the ‘Schlegel-Tieck’ translations for the publisher of the original edition (Reimer, Berlin). An edition with Mommsen’s revisions appeared in 1850-51, but our ‘Othello’ text is from an 1867 reprint of an edition dated 1855. Mommsen writes in a short afterword that he did not touch Schlegel’s translations (‘masterpieces’) but completely retranslated ‘Macbeth’, and made many changes in some other plays. But he says he hardly touched ‘Othello’ (which he thought had been translated by Tieck) – he only corrected a few errors of ‘incomprehensibility, and harshness of expression and syntax’. The task of the translator, Mommsen wrote here, was to achieve a ‘higher fidelity’ by finding a ‘middle path’ between the ‘philologist’s calmness’ and the ‘poet’s mood and freedom’, in order to ‘maintain the feeling that he is writing like a German author’ and create an ‘analogue of foreign literature in the German tongue’ which can ‘have an effect on the public’.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Baudissin%20ed%20Mommsen,"m, m","Othello, der Mohr von Venedig",1851,Dresden,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,Oldenburg,53.147739,8.210603,53.326839749,7.4926093,53.206839752,7.852609375,53.147739,8.210603,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Reimer,,Book,Complete works,
Friedrich Bodenstedt,,,"Friedrich [von] Bodenstedt (1819-92) was noted for an immensely popular volume of poetry (1851) based on Persian and Azeri poems. His own poems and plays were less successful but numerous translations from Russian and Persian were, and so was a new Shakespeare Complete Plays in German, for which he he led a team of translators and 'did' several himself. This was published by Brockhaus, 1867-71. The team worked from English texts newly established by Nicolaus Delius's critical edition of the (1854-60). The Brockhaus edition was reprinted as late as 1898 (6th edn). But for all its success, it and various other competing new editions in this period were all overshadowed by a revision of the 'Schlegel-Tieck' texts (cf editions of Baudissin's Othello), edited by Hermann Ulrici in 1867-71 for the newly founded Deutsche Shakespeare-Gesellschaft . That became the standard version for readers and theatres (with stage editions edited by Wilhelm Oechelhaeuser).",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Bodenstedt,m,"Othello, der Mohr von Venedig",1867,Munich,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,,,,,,,,,,Leipzig,51.339695,12.373075,51.339695,12.373075,51.339695,12.373075,51.339695,12.373075,,,,,,,,,,Brockhaus,,Book,Complete works,
Otto Gildemeister,,,"The journalist Otto Gildemeister (1823-1902) translated major works by Byron, Ariosto and Dante, and contributed all the history plays and 5 others to the Brockhaus Complete Plays edited by Bodenstedt (1867-71; cf. Bodenstedt's Othello, 1867). Gildemeister's own Othello appeared posthumously together with his Macbeth, Romeo and Juliet, and King Lear. His Othello was first drafted in 1871, according to the foreword to the posthumous edition (p.vii).",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Gildemeister,m,Othello,1871,Bremen,53.079296,8.801694,53.079296,8.801694,53.079296,8.801694,53.079296,8.801694,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Reimer,,Book,>10 plays,
Friedrich Theodor Vischer,,,"Friedrich Theodor Vischer (1808-87) was a prominent academic, an influential philosopher of Hegelian aesthetics. In his youth he was a national-liberal activist, and later a successful novelist, poet and dramatist. His translations of 15 of Shakespeare’s plays appeared posthumously, edited by his son Robert, in a series of books titled ‘lectures for the German people’, based on public lectures. Each play has a detailed introduction and is followed by a lengthy commentary and appreciation. The translations are footnoted with glosses and occasional criticisms of errors in the Schlegel-Tieck edition. Robert Vischer tells us that the lectures were delivered in Stittgart in 1869 to 1887, and also that they are mostly his father’s own work, rather than just reworkings of the (‘standard’) Schlegel-Tieck texts, i.e. Baudissin’s (q.v.) texts, in most cases. It is not clear what Vischer intended with his translations and how they relate to the presentation of public lectures on the popular subject of Shakespeare’s work. The print copy of Vischer’s ‘Othello’ used here (the volume also contains his ‘King Lear’), has interesting marginalia. Two readers, one in 1905 and one in 1950, have written numerous comments on Vischer’s translations and interpetations in the margins of the pages. Neither has much good to say about Vischer’s work, and when the earlier reader does agree with Vischer, the later one criticises the ‘limitations of 19th-century views’.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Vischer,m,Othello,1887,Tübingen,48.521636,9.057645,48.259843789,8.430392577,48.509843789,8.540392578,48.391636,9.007645,,,,,,,,,,Stuttgart,48.775418,9.181759,48.82541799,9.181759,48.785418,9.181759,48.775418,9.181759,,,,,,,,,,Cotta,,Book,>10 plays,
Friedrich Gundolf,,,"Gundolf (1880-1931) (pen-name of Friedrich Leopold Gundelfinger) was among the most celebrated German-Jewish intellectuals of his time. He had great influence in German literary culture through best-selling books including ""Shakespeare and the German spirit"" (Shakespeare und der deutsche Geist, 1911) and ""Goethe"" (1916). He was (until he got married) a prominent member of the homosocial circle of aesthetes surrounding the cult poet Stefan George, who probably had a hand, at least, in many of Gundolf’s Shakespeare translations. Gundolf's work was banned by the Nazis in 1933.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Gundolf,m,"Othello, der Mohr von Venedig",1909,Heidelberg,49.398752,8.672434,49.365402597,8.59658390,49.175402598,8.6765839,49.28875200,8.74243399,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Georg Bondi,,Book,Complete works,
"Julius Bab, Elisabeth Levy",,,"In 1923-24, Julius Bab (1880-1955) and Elisabeth Levy (?-?) published a Complete Works, revising the texts of the Schlegel-Tieck edition, in 9 volumes, with the Union publishing house. Union specialised in affordable, quality books. During the 1920s Bab became a successful dramatist, versatile non-fiction writer, and influential theatre critic. There is no information on “Dr E. Levy”. This might be a pseudonym for Bab’s wife Elisabeth, née Loos (1878-1963). She worked in England after studying for the teaching profession. Her memoirs are preserved at the Centre for Jewish History. In 1933, when the National Socialists came to power, Bab co-founded the Jüdischer Kulturbund (Jewish Cultural Federation), which enabled German Jewish performers to work, if only before segregated audiences. Elisabeth Loos, a gentile, fled from Germany with Bab in 1939, initially to Paris. They succeeded in reaching New York in 1940.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Bab%20and%20Levy,"m, f","Othello, der Mohr von Venedig",1923,Dresden,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,Leipzig,51.339695,12.373075,51.339695,12.373075,51.339695,12.373075,51.339695,12.373075,Union,,Book,Complete works,
